time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.4400000000000008,-0.165081875304,-1.83995616374,11.7767024485,2.43729054158,2.89125966782,0.0,0.770178743985,-4.14054294979,4.9482279037,-28.6798809138,-28.6684594839,0.0,900.349141152,99.7047946598,900.608618083,100.010971704
1.5000000000000009,-0.13968119929,-2.11322803025,12.0758275574,0.716646486901,1.17111182204,0.0,-0.172932365738,-4.83755358259,4.79135786522,-28.6737665584,-28.6700109143,0.0,900.362940903,99.7505507558,900.344772038,100.042396393
1.560000000000001,-0.181015098617,-2.39855947105,12.3694753639,5.2796801548,5.73403479219,0.0,-0.909549660556,-4.87402727729,5.16467368014,-28.6632625803,-28.6728113825,0.0,900.436145295,99.4229986696,899.920522024,100.061374884
1.620000000000001,-0.205835745985,-2.71397094746,12.6721329127,3.56017423928,4.01374639174,0.0,0.251484975557,-5.37207194743,4.7903127041,-28.6519129587,-28.669381578,0.0,900.225631087,99.6346759623,899.571927012,100.185319493
1.680000000000001,-0.169020558026,-3.03358074885,12.9721986129,1.84121986079,2.2935619026,0.0,0.646282181118,-5.57076235507,5.24071227123,-28.6456274051,-28.6704290969,0.0,900.330828217,99.5173670777,899.462227061,100.066863202
1.740000000000001,-0.166782633813,-3.38486053265,13.2751942754,0.122563379555,0.573156956843,0.0,-0.63854611397,-5.85726096257,4.91278770926,-28.6422154381,-28.678297504,0.0,900.747528499,99.61366203,899.445335335,100.180876929
1.8000000000000012,-0.215756422233,-3.74398706296,13.586277525,4.68727052847,5.13548051978,0.0,-0.661431680259,-6.35592146167,5.32411188138,-28.6400141092,-28.6856083619,0.0,900.951406593,99.6626234285,899.363334597,99.964769875
1.8600000000000012,-0.215119364444,-4.13233345615,13.8905037295,2.96867492556,3.41426421258,0.0,0.634900186463,-6.34389235458,5.02157430371,-28.6487266535,-28.6890316563,0.0,900.987159488,99.6391918914,899.909811755,100.158027955
1.9200000000000013,-0.178102268047,-4.5276926443,14.2060774526,1.24959837895,1.69287253895,0.0,0.281984597446,-6.99690997188,5.26255524804,-28.6554189037,-28.6911027697,0.0,901.049479311,100.039228795,900.052163205,100.118216849
1.9800000000000013,-0.201396507454,-4.94783046823,14.5139116266,5.81351827398,6.25470393862,0.0,-0.898820250674,-6.94629833729,5.27075785297,-28.6530635606,-28.6866542785,0.0,900.794335809,100.138278188,899.795697761,100.118840707
2.0400000000000014,-0.24307575836,-5.38656691292,14.8371263121,4.09422149959,4.53362535568,0.0,-0.203101088341,-7.68156736339,5.23103522942,-28.6578091582,-28.6816288037,0.0,900.644859878,100.408333917,900.097936489,100.220107109
2.1000000000000014,-0.219091789546,-5.83901964096,15.1476396425,2.37470170106,2.81275926845,0.0,0.752058540449,-7.50330317789,5.39543789531,-28.6601922473,-28.6805103847,0.0,900.693627879,100.334799936,900.194917843,100.831256659
2.1600000000000015,-0.196046430106,-6.31287881267,15.4706477269,0.655164881022,1.09181538703,0.0,-0.222654686364,-8.15046219885,5.18009876484,-28.6569211299,-28.6852046016,0.0,900.920050454,99.94218266,899.968752141,100.837686308
2.2200000000000015,-0.238188678404,-6.79865769081,15.7901731735,5.21884981776,5.65395557733,0.0,-0.874905496257,-8.25065323523,5.5790891204,-28.6608267892,-28.6826747517,0.0,900.705428889,100.171443556,900.232507806,100.753190501
2.2800000000000016,-0.260380006764,-7.31468679517,16.1154421229,3.49915961777,3.93321675988,0.0,0.295858046094,-8.67033415431,5.16095245,-28.6623220002,-28.6737490417,0.0,900.271931458,99.9266918424,900.220439753,100.612133099
2.3400000000000016,-0.223588486237,-7.83165872447,16.4384897671,1.77940323249,2.21272697455,0.0,0.606419125361,-8.85359800192,5.58629399287,-28.6632416911,-28.6767258048,0.0,900.599570025,99.845734538,900.174090674,100.185528454
2.4000000000000017,-0.223950543067,-8.37844883645,16.7619638981,0.0596879058864,0.492064463062,0.0,-0.670353602846,-9.10910517705,5.2982644371,-28.6598612702,-28.6790923492,0.0,900.651425212,99.6068423287,899.998923419,100.232633484
2.4600000000000017,-0.272022441651,-8.93523954855,17.0952843537,4.62332025255,5.05442996441,0.0,-0.62084613536,-9.64999204572,5.64347387535,-28.6583466772,-28.6823686874,0.0,900.713135794,99.2590851554,899.888957961,99.489898297
2.520000000000002,-0.269098638726,-9.51888770575,17.418382186,2.90387178764,3.3336223418,0.0,0.647196679292,-9.56445412614,5.36147278228,-28.6561714401,-28.6769357555,0.0,900.369904322,99.1883167592,899.8268793,99.4633796744
2.580000000000002,-0.233789988202,-10.1073903255,17.752082731,1.18464087256,1.61312041299,0.0,0.237662270816,-10.1971736784,5.51925933791,-28.6505156579,-28.6722596889,0.0,900.245734449,99.4312976197,899.555887722,99.487490774
2.640000000000002,-0.258988260335,-10.7194878936,18.0777430632,5.74882142854,6.17599655192,0.0,-0.891772228207,-10.1904130876,5.60620724327,-28.6495578161,-28.6712924451,0.0,900.326670756,99.5354956757,899.677211664,99.7582423546
2.700000000000002,-0.298736335746,-11.3528099511,18.4172954845,4.02977521857,4.45560291505,0.0,-0.160810303291,-10.902557757,5.46240295196,-28.6524686623,-28.6761300027,0.0,900.611580379,99.7469435392,899.831392366,99.7074013871
2.760000000000002,-0.273838215509,-11.9963188701,18.7427796152,2.31055840631,2.73516279408,0.0,0.720261364311,-10.6799297792,5.64781686271,-28.6556713586,-28.6712209965,0.0,900.263313007,99.8110290615,899.962805904,99.8574067605
2.820000000000002,-0.253249325104,-12.6594166944,19.0781526321,0.59089371217,1.01495922024,0.0,-0.268371627372,-11.2822143778,5.38247334925,-28.6706519507,-28.668088678,0.0,900.23018872,100.066947974,900.666781661,99.7286696746
2.880000000000002,-0.295875776488,-13.3356754387,19.4119767163,5.15372406593,5.57814531195,0.0,-0.840833577051,-11.4630742495,5.785382914,-28.6760070982,-28.6648652682,0.0,900.104852263,99.9046330633,900.623358503,99.7785543857
2.940000000000002,-0.316118324725,-14.0428073384,19.7474774137,3.43317512599,3.85820641925,0.0,0.323856291258,-11.8150109922,5.32347208424,-28.6752445931,-28.6665715832,0.0,900.270868987,99.8425111729,900.482253526,99.8073739963
3.000000000000002,-0.280146431761,-14.7476791748,20.0805793738,1.7127493029,2.13828886964,0.0,0.566113077203,-11.9702412614,5.7112929987,-28.6718639146,-28.6636754416,0.0,900.04563862,99.6965308613,900.255164806,99.3876144223
3.0600000000000023,-0.282787844432,-15.4808794664,20.4115567893,6.27560615993,0.418558625159,0.0,-0.693707115049,-12.2280526896,5.46856038319,-28.6723806468,-28.6598186087,0.0,899.935048448,99.7570188041,900.382886321,99.4201124504
3.1200000000000023,-0.329957981532,-16.2276590302,20.7533063968,4.55531349772,4.98226349426,0.0,-0.596045492214,-12.817524379,5.728916471,-28.6704166178,-28.6555143707,0.0,899.762895898,99.7443883393,900.227941685,99.3050515132
3.1800000000000024,-0.325781167005,-16.9995043116,21.0810301572,2.83511251232,3.26294124257,0.0,0.64271748056,-12.6688183046,5.45937595916,-28.6694022271,-28.6551383947,0.0,899.856510141,99.6614259099,900.267013726,99.4975842563
3.2400000000000024,-0.292401553171,-17.7738397377,21.4180869774,1.1150081941,1.54359544238,0.0,0.20173371669,-13.2813925867,5.53296197756,-28.6668744758,-28.6566568026,0.0,899.971517476,100.126092574,900.142339889,99.6009039564
3.3000000000000025,-0.318985021613,-18.5720601308,21.7469039782,5.67821059362,6.10752737151,0.0,-0.878493459824,-13.3546394822,5.68550523708,-28.6658179875,-28.6509588521,0.0,899.712004516,100.615545998,900.176208279,99.7324966304
3.3600000000000025,-0.357408045087,-19.395050323,22.0870155202,3.95840727076,4.38842308369,0.0,-0.137745074283,-14.0501930286,5.42868449275,-28.6598172263,-28.6527843391,0.0,899.933654688,100.756915634,899.897692138,100.004136603
3.4200000000000026,-0.332654542557,-20.2252778735,22.411253532,2.23879065129,2.66918893016,0.0,0.677667283163,-13.7805524522,5.62139082368,-28.661307118,-28.6559874133,0.0,900.070258394,100.754950174,900.130083806,100.144410677
3.4800000000000026,-0.314231141647,-21.0733164116,22.742423082,0.519166109115,0.949618262897,0.0,-0.302901387736,-14.3572487076,5.31130582033,-28.6589469561,-28.6653511796,0.0,900.466378717,100.461487809,899.990440149,100.264214687
3.5400000000000027,-0.35693829628,-21.937690372,23.0734493085,5.08279527869,5.51277864561,0.0,-0.812498460317,-14.6369256507,5.69141445964,-28.6598566057,-28.6699499983,0.0,900.454266025,100.001493507,900.045397592,99.8611318222
3.6000000000000028,-0.37619235095,-22.8341996879,23.4012602793,3.36313697334,3.79249919284,0.0,0.332154674369,-14.9371915313,5.18381374284,-28.6623645093,-28.6731370994,0.0,900.557470925,100.299823087,900.16629168,99.9180383775
3.660000000000003,-0.341785459787,-23.7252965858,23.7260477152,1.64327532302,2.07218295478,0.0,0.528476492641,-15.0521497783,5.53051571644,-28.6675019561,-28.670116095,0.0,900.329230269,100.343906313,900.380139547,99.9304087619
3.720000000000003,-0.346394277177,-24.6438451017,24.046318535,6.20627868298,0.351928212565,0.0,-0.711362683317,-15.3485368793,5.33417747046,-28.6730458813,-28.6719318669,0.0,900.510766871,100.437724141,900.522029692,99.4933397822
3.780000000000003,-0.392862317287,-25.5808905183,24.3774974869,4.48581517612,4.91466040932,0.0,-0.58744334987,-15.99328417,5.49758491095,-28.6766799818,-28.6781136198,0.0,900.779868374,100.429735676,900.561112364,99.3512853396
3.840000000000003,-0.388394749987,-26.5416671204,24.6906646181,2.7652511679,3.19386916363,0.0,0.621350843302,-15.7829433944,5.23637818506,-28.6751527673,-28.682633801,0.0,900.887506957,100.299417314,900.44650031,99.6000133669
3.900000000000003,-0.357444511197,-27.5019842842,25.0117808967,1.0448048846,1.47285940869,0.0,0.162916645124,-16.3731130904,5.22871530243,-28.6725093306,-28.6847731962,0.0,900.888428373,100.292115449,900.317810003,99.5108706574
3.960000000000003,-0.385464290213,-28.4875441676,25.3247222703,5.60777460515,6.03501664408,0.0,-0.863120509897,-16.5514178969,5.43848770646,-28.6672876722,-28.6825937598,0.0,900.738550692,100.335470279,900.132722771,99.7503627935
4.020000000000002,-0.422931091178,-29.501985784,25.6457536447,3.88777688258,4.31401161002,0.0,-0.120456352407,-17.2319445268,5.06860690335,-28.6658628909,-28.6849118012,0.0,900.89357007,100.226031942,900.186249806,99.9091382085
